"object","exemplar","state1","state2"
"aabacus",1,"E:/PsychoPy/Images/aabacus/e1_s1.jpg","E:/PsychoPy/Images/aabacus/e1_s2.jpg"
"accordion",1,"E:/PsychoPy/Images/accordion/e1_s1.jpg","E:/PsychoPy/Images/accordion/e1_s2.jpg"
"altoid",1,"E:/PsychoPy/Images/altoid/e1_s1.jpg","E:/PsychoPy/Images/altoid/e1_s2.jpg"
"apple",1,"E:/PsychoPy/Images/apple/e1_s1.jpg","E:/PsychoPy/Images/apple/e1_s2.jpg"
"backpack",1,"E:/PsychoPy/Images/backpack/e1_s1.jpg","E:/PsychoPy/Images/backpack/e1_s2.jpg"
"baseball_glove",1,"E:/PsychoPy/Images/baseball_glove/e1_s1.jpg","E:/PsychoPy/Images/baseball_glove/e1_s2.jpg"
"bills",1,"E:/PsychoPy/Images/bills/e1_s1.jpg","E:/PsychoPy/Images/bills/e1_s2.jpg"
"book",1,"E:/PsychoPy/Images/book/e1_s1.jpg","E:/PsychoPy/Images/book/e1_s2.jpg"
"book_object",1,"E:/PsychoPy/Images/book_object/e1_s1.jpg","E:/PsychoPy/Images/book_object/e1_s2.jpg"
"bottle_liquid",1,"E:/PsychoPy/Images/bottle_liquid/e1_s1.jpg","E:/PsychoPy/Images/bottle_liquid/e1_s2.jpg"
"bottle_perfume",1,"E:/PsychoPy/Images/bottle_perfume/e1_s1.jpg","E:/PsychoPy/Images/bottle_perfume/e1_s2.jpg"
"breadbox",1,"E:/PsychoPy/Images/breadbox/e1_s1.jpg","E:/PsychoPy/Images/breadbox/e1_s2.jpg"
"cabbage",1,"E:/PsychoPy/Images/cabbage/e1_s1.jpg","E:/PsychoPy/Images/cabbage/e1_s2.jpg"
"cabinet",1,"E:/PsychoPy/Images/cabinet/e1_s1.jpg","E:/PsychoPy/Images/cabinet/e1_s2.jpg"
"canopener",1,"E:/PsychoPy/Images/canopener/e1_s1.jpg","E:/PsychoPy/Images/canopener/e1_s2.jpg"
"car",1,"E:/PsychoPy/Images/car/e1_s1.jpg","E:/PsychoPy/Images/car/e1_s2.jpg"
"cardbox",1,"E:/PsychoPy/Images/cardbox/e1_s1.jpg","E:/PsychoPy/Images/cardbox/e1_s2.jpg"
"cell",1,"E:/PsychoPy/Images/cell/e1_s1.jpg","E:/PsychoPy/Images/cell/e1_s2.jpg"
"cereal",1,"E:/PsychoPy/Images/cereal/e1_s1.jpg","E:/PsychoPy/Images/cereal/e1_s2.jpg"
"chair_recliner",1,"E:/PsychoPy/Images/chair_recliner/e1_s1.jpg","E:/PsychoPy/Images/chair_recliner/e1_s2.jpg"
"chapstick",1,"E:/PsychoPy/Images/chapstick/e1_s1.jpg","E:/PsychoPy/Images/chapstick/e1_s2.jpg"
"chip",1,"E:/PsychoPy/Images/chip/e1_s1.jpg","E:/PsychoPy/Images/chip/e1_s2.jpg"
"chips",1,"E:/PsychoPy/Images/chips/e1_s1.jpg","E:/PsychoPy/Images/chips/e1_s2.jpg"
"chocolate",1,"E:/PsychoPy/Images/chocolate/e1_s1.jpg","E:/PsychoPy/Images/chocolate/e1_s2.jpg"
"chocolate_bar",1,"E:/PsychoPy/Images/chocolate_bar/e1_s1.jpg","E:/PsychoPy/Images/chocolate_bar/e1_s2.jpg"
